feature,importance
Customers,13183197344.31473
Open,2334120414.3984375
sales_lag_14,1134151804.3860054
DayOfWeek,536993326.7288628
sales_lag_28,222301506.95084572
promo,208355044.07422256
sales_roll_std_7,160971676.4615879
StoreType,144598215.8900833
sales_roll_mean_28,140683461.14574432
state_holiday,115189705.30262756
CompetitionDistance,106682151.64255905
week_of_year,71991868.54703331
sales_roll_mean_7,56099473.678943634
sales_roll_mean_14,49924988.9866066
sales_lag_7,40070074.199617386
sales_roll_mean_90,27727067.93191147
Promo2SinceWeek,27101443.721988678
CompetitionOpenSinceYear,23970426.681798935
sales_roll_std_14,21495262.318454742
CompetitionOpenSinceMonth,20463240.353221893
day_of_week,19288894.828748703
Promo2SinceYear,17611064.042556763
sales_roll_std_90,16403353.226764679
month,9334761.797679901
sales_roll_std_28,9222879.958047867
Assortment,7796536.196907043
PromoInterval,5535728.7067604065
year,5191813.479564667
school_holiday,3105988.148973465
Promo2,1634680.2061462402
is_state_holiday,506772.77074050903
is_weekend,302650.11476898193
